ID,Nombre,NDVI_2015,NDVI_2024,Delta_NDVI,Delta_NDVI_relativo,Latitud,Longitud,Area_km2,Etiqueta,Prediccion
146622,Fachinal,,0.3850289777539453,,,-27.63648044780381,-55.729451608179126,0.5139273971175609,0,
166784,Sierra Crovetto,,0.4093698475434479,,,-27.741645096357985,-55.55831354554249,10.23684460433993,0,
30836,Teyú Cuare,,0.3687616012450351,,,-27.28282181266528,-55.592030838340186,0.7880066490899298,0,
32511,Cañadón de Profundidad,,0.3844869652568039,,,-27.555102268498796,-55.70941679018856,0.525225314949642,0,
555587159,Loro Hablador,0.5731361437330611,0.2512171122225596,-0.3219190315105014,-0.561679864427527,-25.449594088011963,-61.81967540264197,191.2414806420585,1,1.0
555587150,Centro Biologico Pilaga - Zoo,,0.3016862127035067,,,-25.96902905122926,-58.16013002442484,5.967950200500327,0,
902258,Humedales Chaco,0.2032602028289491,0.3008734130604978,0.0976132102315487,0.4802376897837389,-27.394660456374105,-58.86622861373078,4829.538663981947,0,0.0
67759,Parque Nacional Rio Pilcomayo,0.2881982254008297,0.2876224999072235,-0.0005757254936061,-0.0019976718899134,-25.06527493898973,-58.138194725912,516.0858415651172,0,0.0
900669,Jaaukanigás,0.2915366534638937,0.2746667753312552,-0.0168698781326384,-0.0578653762132443,-28.746549406397243,-59.32600787936159,4409.028092644566,0,0.0
555786023,Tinfunque,0.5335397644120455,0.2314662781160109,-0.3020734862960346,-0.5661686465467405,-23.96514372259896,-60.16906504876047,1770.6915564601106,1,1.0
900725,Las Yungas,0.5844898248042957,0.2920269708794892,-0.2924628539248065,-0.5003728747933834,-23.14101083243745,-64.79229295955415,13522.751040588715,1,1.0
220253,Riacho Teuquito,0.4942947698484131,0.2451897076508987,-0.2491050621975143,-0.5039605462018305,-24.250049943545232,-61.63465309226477,899.2227267436798,1,1.0
900662,Laguna Oca del Rio Paraguay,,0.3054594561733299,,,-26.3271104012371,-58.27899498898099,618.3167561104225,0,
555587167,Zanjon de Loreto,,0.2500482920290883,,,-27.594363568758624,-56.70031836399546,12.161917224104528,0,
555587145,Rincon Nazari,,0.183561102992988,,,-27.35985656839233,-55.91063123847697,0.1132241712469464,0,
555745325,Parque Federal Campo San Juan,,0.338024926908722,,,-27.39805627277952,-55.64754146637876,57.32901150297943,0,
555703459,Cambyreta,,0.2412158856655772,,,-28.001362778849384,-57.05823438037328,117.34526332300852,0,
555637445,Dragones,0.351334915257202,0.2155125066206232,-0.1358224086365787,-0.3865895552599637,-23.37336289676249,-63.287844783415,37.02665488034231,1,1.0
